Amtrak Station Location,Amtrak Station Code
"Abbotsford - Bus Station, BC",ABT
"Abbotsford-Colby - Bus Stop, WI",ABB
"Aberdeen, MD",ABE
"Absecon - NJ Transit Station, NJ",ABN
"Adelanto, CA",ADE
"Alamosa - Bus Stop, CO",AMC
"Alanson - Bus Stop, MI",ALA
"Albany, OR",ALY
"Albany-Rensselaer, NY",ALB
"Albion, MI",ALI
"Albuquerque, NM",ABQ
"Aldershot, ON",AST
"Alderson, WV",ALD
"Alexandria, VA",ALX
"Alliance, OH",ALC
"Alpena - Bus Stop, MI",ALM
"Alpine, TX",ALP
"Alton, IL",ALN
"Altoona, PA",ALT
"Amsterdam, NY",AMS
"Anaheim, CA",ANA
"Ann Arbor, MI",ARB
"Anniston, AL",ATN
"Antioch-Pittsburg, CA",ACA
"Appleton, WI",APP
"Arcata, CA",ARC
"Ardmore, OK",ADM
"Ardmore, PA",ARD
"Arkadelphia, AR",ARK
"Ashland, KY",AKY
"Ashland, OR",AHL
"Ashland, VA",ASD
"Astoria - Transit Center Bus Stop, OR",ART
"Atascadero - Bus Stop, CA",ATA
"Atco - NJ Transit Station, NJ",ATO
"Atlanta, GA",ATL
"Atlantic City - NJ Transit Service, NJ",ACY
"Auburn, CA",ARN
"Augusta - Bus Stop, ME",AGM
"Austin, TX",AUS
"Baker City, OR",BAK
"Bakersfield, CA",BFD
"Baltimore - Penn Station, MD",BAL
"Baltimore - BWI Thurgood Marshall Airport, MD",BWI
"Banff - Bus Station, AB",BAF
"Bangor, ME",BAN
"Bangor, MI",BAM
"Barstow, CA",BAR
"Barstow - Bus Station, CA",BBS
"Bath, ME",BAT
"Baton Rouge - Bus Stop, LA",BTR
"Battle Creek, MI",BTL
"Bay City - Bus Stop, MI",BCY
"Beaumont, TX",BMT
"Beaver Dam - Bus Stop, WI",BVD
"Belfast, ME",BFT
"Belgrade/Bozeman - Bus Station, MT",BOZ
"Bellingham, WA",BEL
"Bellows Falls, VT",BLF
"Bend - Riverhouse, OR",BDR
"Bend - Bus Stop, OR",BND
"Benson, AZ",BEN
"Berkeley, CA",BKY
